stream_id,@timestamp,event.kind,event.category,event.type,event.action,event.outcome,event.module,event.dataset,event.duration,security.severity,rule.id,rule.name,service.name,trace.id,span.id,user.id,user.name,log.level,error.class,error.message,message,extras
1788447154264-0,2026-09-03T14:52:34.262618478Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,f7a267a3673749b4ae6204ce930f11d5,185c98e94c744083,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447153509-0,2026-09-03T14:52:33.507476538Z,,api,access,GET /manifest.webmanifest,success,,,0,,,,code-with-quarkus-pride,48e11c59a71f42b2b703c8c70a3d42c2,e7df0597db5d4fca,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447153127-0,2026-09-03T14:52:33.123855112Z,,api,access,GET /telemetria,success,,,573000000,,,,code-with-quarkus-pride,9e9de6ca012f4805bbd460a8672c679f,0cbe2fce74714ebd,anonymous,anonymous,INFO,,,SPN HTTP access GET /telemetria status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447153103-0,2026-09-03T14:52:33.100080977Z,,api,access,GET /telemetria,success,,,862000000,,,,code-with-quarkus-pride,bc246f845c9a4152b532a7c5bb09f12e,0f7f19911f33487d,anonymous,anonymous,INFO,,,SPN HTTP access GET /telemetria status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447147777-0,2026-09-03T14:52:27.774759993Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,8cf1c02010ae41f78b3693b3be37c020,68a5c0b3745745dd,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447147700-0,2026-09-03T14:52:27.698683085Z,,api,access,GET /manifest.webmanifest,success,,,0,,,,code-with-quarkus-pride,72215a21ae0a4b8c9dc436fbe6a98c25,e397cca7432e4d17,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447147600-0,2026-09-03T14:52:27.598613386Z,,api,access,GET /documentacao,success,,,95000000,,,,code-with-quarkus-pride,a511d8d6ec6e41e49eab358a189c7e4b,02ab5feb87f4442a,anonymous,anonymous,INFO,,,SPN HTTP access GET /documentacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447134591-0,2026-09-03T14:52:14.589533618Z,,api,access,GET /home/situacao,success,,,1000000,,,,code-with-quarkus-pride,015091e475a34621bbe1fdcb3f5ab641,44b74f8a320b4756,anonymous,anonymous,INFO,,,SPN HTTP access GET /home/situacao status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447119586-0,2026-09-03T14:51:59.584396925Z,,api,access,GET /modo,success,,,0,,,,code-with-quarkus-pride,186cc524c7f148638688ef9e0a8fa70f,cfe54e3b356e4bd6,anonymous,anonymous,INFO,,,SPN HTTP access GET /modo status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447119395-0,2026-09-03T14:51:59.393328415Z,,api,access,GET /manifest.webmanifest,success,,,0,,,,code-with-quarkus-pride,f19f401116754854b6ca6ffedd7d47d0,d04700f0ca72403c,anonymous,anonymous,INFO,,,SPN HTTP access GET /manifest.webmanifest status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
1788447119146-0,2026-09-03T14:51:59.145141146Z,,api,access,GET /,success,,,58000000,,,,code-with-quarkus-pride,a6f12417e7ef44f2823cd472568b5964,01cb3f4770b445c4,anonymous,anonymous,INFO,,,SPN HTTP access GET / status=200,"{""user_agent.os.name"":""Windows"",""network.type"":""publica"",""client.locale"":""pt-BR"",""user_agent.name"":""Chrome"",""source.port"":""0""}"
